,from,date,job_id,job_title,job_company,job_location,job_link,job_type,job_skills,job_edu,job_major,job_keywords
0,Indeed,07/20/2017,079b3ef73b7b3909,Senior Data Scientist - Machine Learning,MaxPoint,"Morrisville, NC 27560",http://www.indeed.com/rc/clk?jk=079b3ef73b7b3909,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden
1,Indeed,07/20/2017,5110917714ee2823,Principal Data Scientist - Machine Learning,MaxPoint,"Morrisville, NC 27560",http://www.indeed.com/rc/clk?jk=5110917714ee2823,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden
2,Indeed,07/20/2017,311adb6a6562e030,Machine Learning and Optimization Developer,SAS Institute,"Cary, NC",http://www.indeed.com/rc/clk?jk=311adb6a6562e030,[],"['SAS', 'C++', 'C']",[],"['Computer Science', 'Math', 'Machine Learning', 'Quantitative']",['Real Time']
3,Indeed,07/20/2017,3a010540946fe74f,"Vice President, Big Data Technology",Fidelity Investments,"Durham, NC",http://www.indeed.com/rc/clk?jk=3a010540946fe74f,[],[],[],[],[]
4,Indeed,07/20/2017,ea4000e7bc30c763,"Data Scientist, Natural Language Processing Specialist",Institute for Medical Research,"Durham, NC 27701",http://www.indeed.com/rc/clk?jk=ea4000e7bc30c763,['Full-Time'],"['Microsoft SQL server', 'SQL', 'Python', 'Java', 'Excel', 'Hadoop', 'Spark', 'Mahout']","['MS', 'MS', 'PhD']","['Computer Science', 'Math', 'Machine Learning', 'Engineering']","['Classification', 'Big Data']"
5,Indeed,07/20/2017,f4bfd7838f2a568b,Senior Data Scientist,Blue Cross Blue Shield of North Carolina,"Durham, NC",http://www.indeed.com/rc/clk?jk=f4bfd7838f2a568b,[],[],[],[],[]
6,Indeed,07/20/2017,89ca0c2d554ef02b,Machine Learning/ Computer Vision Scientist,Teledyne Scientific & Imaging,"Durham, NC",http://www.indeed.com/rc/clk?jk=89ca0c2d554ef02b,[],"['Unix', 'Linux', 'Python', 'C++', 'C', 'Matlab', 'Java']","['MS', 'PhD']","['Computer Science', 'Statistics', 'Math', 'Machine Learning', 'Engineering']",['Classification']
7,Indeed,07/20/2017,b640edb0fe80908f,Data Analyst,Piper Companies,"Raleigh, NC 27617 (Central area)",http://www.indeed.com/rc/clk?jk=b640edb0fe80908f,[],"['R', 'Python']","['BS', 'BS', 'MS', 'MBA']","['Computer Science', 'Statistics', 'Math', 'Physics']",[]
8,Indeed,07/20/2017,bc643eee46c4d89f,Statistical Programmer I,"Rho, Inc.","Chapel Hill, NC",http://www.indeed.com/rc/clk?jk=bc643eee46c4d89f,['Full-Time'],['SAS'],['BS'],"['Computer Science', 'Statistics']",[]
9,Indeed,07/20/2017,a9b6f4a34844adbc,Statistical Programming Scientist,QuintilesIMS,"Durham, NC",http://www.indeed.com/rc/clk?jk=a9b6f4a34844adbc,[],[],[],[],[]
10,Indeed,07/20/2017,1673c766e8761079,Contract Statistician,Piper Companies,"Research Triangle Park, NC 27709",http://www.indeed.com/rc/clk?jk=1673c766e8761079,['Contract'],[],"['BS', 'MS', 'MS', 'MBA']",[],[]
11,Indeed,07/20/2017,17c0d49a14dcbd0f,Senior Data Scientist-Customer Engagement and Experience,Cigna,"Raleigh, NC",http://www.indeed.com/rc/clk?jk=17c0d49a14dcbd0f,[],[],[],[],[]
12,Indeed,07/20/2017,d9c7174a841f2a8f,Research Scientist/Engineer,"Polarean, Inc.","Durham, NC",http://www.indeed.com/rc/clk?jk=d9c7174a841f2a8f,['Full-Time'],[],['MS'],"['Physics', 'Engineering']",[]
13,Indeed,07/20/2017,d16558757c1d917f,Statistical Programmer II,INC Research,"Raleigh, NC",http://www.indeed.com/rc/clk?jk=d16558757c1d917f,[],[],[],[],[]
14,Indeed,07/20/2017,ebc23dc08325b8c8,Data Scientist,xometry,"Durham, NC",http://www.indeed.com/rc/clk?jk=ebc23dc08325b8c8,[],['Python'],"['BS', 'MS']","['Computer Science', 'Statistics', 'Math', 'Machine Learning', 'Software Engineering', 'Engineering', 'Quantitative']",['Regression']
17,Indeed,07/20/2017,361a06769e554822,Data Curator,Vistronix,"Morrisville, NC",http://www.indeed.com/rc/clk?jk=361a06769e554822,['Full-Time'],['Excel'],['MS'],[],[]
18,Indeed,07/20/2017,bbd3c3676dde30b5,Machine Learning Specialist,Institute for Medical Research,"Durham, NC 27701",http://www.indeed.com/rc/clk?jk=bbd3c3676dde30b5,['Full-Time'],"['Microsoft SQL server', 'SQL', 'Python', 'Java', 'Excel', 'Hadoop', 'Spark', 'Scala', 'Mahout']","['MS', 'MS', 'PhD']","['Computer Science', 'Math', 'Machine Learning', 'Engineering']","['Classification', 'Big Data']"
19,Indeed,07/20/2017,54688b055d1f5c6f,Statistical Programmer,Piper Companies,"Morrisville, NC 27560",http://www.indeed.com/rc/clk?jk=54688b055d1f5c6f,[],['SAS'],"['BS', 'MS', 'MBA']",[],[]
20,Indeed,07/20/2017,d4d6cccf42e36310,STATISTICIAN DATA SCIENTIST - ENTERPRISE ANALYTICS,UNC Health Care,"Chapel Hill, NC",http://www.indeed.com/rc/clk?jk=d4d6cccf42e36310,[],[],[],[],[]
21,Indeed,07/20/2017,56924715c02bff79,LAB RESEARCH ANALYST I,Duke University and Duke University Health System,"Durham, NC",http://www.indeed.com/rc/clk?jk=56924715c02bff79,['Full-Time'],['Excel'],"['BS', 'MS', 'MS']",['Information System'],[]
22,Indeed,07/20/2017,62f47c9e9a411899,Senior Data Scientist ? Machine Learning,Strivector,"Morrisville, NC",http://www.indeed.com/rc/clk?jk=62f47c9e9a411899,['Full-Time'],"['R', 'Hadoop', 'Spark', 'MapReduce']",[],"['Statistics', 'Math', 'Machine Learning', 'Quantitative']","['Regression', 'Time Series']"
