,from,date,job_id,job_title,job_company,job_location,job_link,job_type,job_skills,job_edu,job_major,job_keywords,job_text
0,Indeed,06/20/2017,1cb7e9851f62c391,Data Scientist,Predictive Science,United States,http://www.indeed.com/rc/clk?jk=1cb7e9851f62c391,[],[],[],[],[],"['', '403', 'nginx', 'forbidden']"
1,Indeed,06/20/2017,079b3ef73b7b3909,Senior Data Scientist - Machine Learning,MaxPoint,"Morrisville, NC 27560",http://www.indeed.com/rc/clk?jk=079b3ef73b7b3909,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden
2,Indeed,06/20/2017,56924715c02bff79,LAB RESEARCH ANALYST I,Duke University and Duke University Health System,"Durham, NC",http://www.indeed.com/rc/clk?jk=56924715c02bff79,['Full-Time'],['Excel'],"['BS', 'MS', 'MS']",[],[],"['', 'duties', 'execute', 'compile', 'hiring', 'employers', 'primary', 'pi', 'work', 'lieu', 'resume', 'environment', 'available', 'additional', 'days', 'origin', 'expression', 'review', 'develop', 'multiple', 'combination', 'purify', 'zoology', 'chemicals', 'requires', 'terms', 'e.g', 'proven', 'race', 'washing', 'world-class', 'preferred', 'holly', 'functions', 'prefer', 'instructions', 'data', 'outstanding', 'post', 'confer', 'previous', 'staffing', 'identity', 'equivalent', 'sign', '3+', 'working', 'programming', 'adapt', 'volumes', 'opportunity', 'cell', 'genes', 'elisa', 'changing', 'specimens', 'goals', 'executed', 'center', 'large', 'cultures', 'indeed', 'flexible', 'save', 'equipment', 'screenings', 'neutralization', 'reports', 'type:', 'biology', 'settings', 'rapidly', 'deadlines', 'excel', 'human', 'employment', 'detailed', 'now', 'competitive', 'concise', 'botany', 'revise', 'degree', 'hours', 'ms', 'operating', '?', 'well', 'reasonable', 'gender', 'sexual', 'close', 'including', 'duke', 'zip', 'http:', 'willing', 'research', 'experimental', 'full-time', 'priorities', '\xa0', 'techlink', 'bachelor?s', 'knowledge', 'high', 'systems', 'jobs', 'analyze', 'draw', 'bsl-3', '28', 'conclusions', 'personnel', 'provided', 'real', 'assays', 'search', 'perform', 'springs', 'complex', 'ago', 'include', 'media', 'offset', 'hiv-positive', 'pathogens', '1:1', 'supervision', 'maintain', 'tracking', 'external.php?reqid=90039br', 'please', 'skills', 'requests', 'color', 'primate', 'non-human', 'minimum', 'protein', 'techniques', 'related', 'procedures', 'aspects', 'accommodation', 'salaries', 'skip', 'status.essential', 'handling', 'provision', 'analytical', 'vba', 'conditions', '44', 'responsibilities', 'fashion', 'team', 'automated', 'laboratory', 'analyst', 'shifts', 'precise', 'plans', 'solutions', 'medical', 'must', 'immunoglobulin', 'assignments', 'genetron', 'directly', '30+', 'produce', 'prepare', 'university', 'applying', 'network', '7', 'reagents', 'preliminary', 'newly', 'requested', 'biotek', 'mental', 'find', 'using', 'rigorous', 'regard', 'standard', 'transiently', 'interactive', 'reviews', 'monoclonal', 'basis', 'physical', 'needed', ""tomorrow's.."", 'bonsignori', 'extract', 'information', 'field', 'proficiency', 'pluses', 'privacy', 'may', 'deliverables', 'critical', 'essential', 'year', 'experience', 'require', ':', 'collected', 'schedule', 'resumes', 'firm', 'education', 'performance', 'timely', 'arising', 'cells', 'associate', 'operate', 'patient', 'dynamic', 'liquid', 'genetics', 'individuals', 'meticulous', 'generate', 'functions:', 'detail-oriented', 'application', 'biomek', 'culture', 'frozen', 'will', 'pcr', 'scientist', 'nc', 'communication', 'antibodies', 'isolate', 'investigator', 'durham', 'technical', 'qualifications', 'raleigh', 'employer', 'high-throughput', 'minimal', 'orientation', 'affirmative', 'title', 'sterile', 'technologies', 'genetic', 'developmen..', 'strict', 'pro-active', 'supplies', 'dispensing', 'material', 'educating', 'like', 'system', 'lines', 'description', '&', 'separation', 'keeping', 'production', 'results', 'inventory', 'highly', 'veteran', 'able', 'update', 'extraction', 'record', 'integrity', 'help', 'new', 'keywords', 'draft', 'ensure', 'transfected', 'tzm-bl-based', 'certain', 'specific', 'easily', 'samples', 'liaison', 'academic', 'maintaining', 'etc', 'required', 'advanced', 'health', 'department', 'action', 'containing', '15', '-', 'optimize', 'apply', 'relevant', 'manage', 'cancer', 'approach', ""individual's"", 'immortalized', 'accessibility', 'automation', 'excellent', ""master's"", 'fulfill', 'care', 'two', 'thinking', 'company', 'logs', 'www.hr.duke.edu', 'religion', ""bachelor's"", 'automacs', 'dna', 'requirements', 'providing', 'master?s', 'cookies', 'upload', 'lab', 'city', 'response', 'disability', 'organized', 'qualified', 'document', 'needs', 'primates', 'ebv-transformed', 'act', 'principal', 'industry', 'abilities', 'fresh', 'technician', 'below:', 'national', 'manager', 'processing', 'self-motivated', 'committed', 'age', 'equal', 'scientific', 'rna', 'dedicated', 'state', 'url', 'scale', 'b', 'years', '1', 'job', '?2017', 'without']"
3,Indeed,06/20/2017,9e9e9a07a7d5a194,Biostatistician/Statistical Scientist United States Home or Office based,QuintilesIMS,"Research Triangle Park, NC",http://www.indeed.com/rc/clk?jk=9e9e9a07a7d5a194,[],[],[],[],[],"['section', 'inactivity', 'click', 'search', 'minutes', 'options', 'candidate', 'profile', 'friend', 'set', 'format', 'automatically', 'saved', 'go', 'return', 'submissions', '\xa0', 'primary', 'description', '|', 'refer', 'qualifications', 'beginning', '-', 'session', ""candidate's"", 'jobpage', 'locations', 'location', 'searches', 'content', 'reset', 'timer', 'page', 'previous', 'main', 'service', 'end', 'printable', 'sign', 'account', 'organization', 'jobs', ':', '{1}', 'signed', '{0}', 'will', 'submit', 'position', 'disconnect', 'job', 'home', 'ok']"
4,Indeed,06/20/2017,4f2d399bd1069764,Hadoop Integration Data Scientist,LifeScale Analytics,"Raleigh-Durham, NC",http://www.indeed.com/rc/clk?jk=4f2d399bd1069764,['Full-Time'],"['Python', 'Java', 'Hadoop', 'MapReduce']",[],[],['Big Data'],"['', 'capture', 'python', 'skilled', 'validating', 'ultimately', 'client', 'must', 'turnover', 'issues', 'orienting', 'experience:', 'verification', 'management', 'like', 'organizations', 'resources', 'within', 'strong', 'employers', 'gcc', 'description', 'recommendations', '&', 'produce', 'implements', '30+', 'install', 'actions', 'executes', '?', 'work', 'applying', 'network', 'agreed', 'resume', 'making', 'close', 'environment', 'gathering', 'frequently', 'analytics', 'lsa', 'zp', 'days', 'chain', 'zip', 'provide', 'tasks', 'ideas', 'cluster', 'help', 'research', 'hypothesis', 'new', 'keywords', 'features', 'ground', 'review', 'worked', 'increase', 'variety', 'experimental', 'value', 'find', 'framework', 'environments', 'position', 'confident', 'come', 'reviews', 'specific', 'proactively', 'project', 'group', 'certification:', 'others', 'remediation', 'hands-on', 'demonstrated', 'kavaliro', 'implementation', 'full-time', 'easily', 'testing', 'priorities', 'progressive', 'terms', 'maxpoint', 'profile', 'director', 'genomics', 'refining', 'java:', 'improve', 'tools', 'effective', 'required', 'hadoop', 'information', 'advanced', 'refinement', '\xa0', 'deployment', 'takes', 'action', 'science', 'salary:', 'deal', 'become', 'specialists', '-', 'components', 'decisions', 'initiative', 'data', 'instructions', 'updates', 'optimize', 'assets', 'privacy', 'apply', 'post', 'upgrade', 'high', 'representing', 'may', '18', 'responsibilities:', 'analyzing', 'including:', 'year', 'experience', 'end', 'sign', 'website', 'interpersonal', 'jobs', ':', 'life', 'two-years', 'use', 'working', 'report', 'blas-dev', 'problems', 'conducts', 'validation', 'resumes', 'capacity', 'www.lifescaleanalytics.com', 'search', 'opportunity', '2', 'purpose', 'along', 'company', 'maximize', 'ago', 'requirements', 'profiling', 'gaps', 'techservices', 'readiness', 'visualizing', 'resolving', 'versions', 'leading', 'good', 'achieve', 'belcan', 'cloudera', 'cookies', 'changing', 'upload', 'genetics', 'description:', 'lab', 'city', 'occupy', 'positively', '$140', 'java', 'center', 'ability', 'configuration:', 'processes', 'certified', 'application', 'documentation', 'valid', 'documenting', 'customer?s', 'reporting', 'deep', '000', 'background', 'hail', 'navigating', 'indeed', 'please', '000.00', 'raleigh-durham', 'scope', 'skills', '20', 'save', 'evaluate', 'numerous', 'will', 'plus', 'innovation', 'morrisville', 'configuration', 'industry', 'collection', 'hail:', 'plink', 'communications', 'scientist', 'simultaneously', 'efficiency', 'managing', 'license', 'related', 'desire', 'training', 'installs', 'compiles', 'reports', 'expertise', 'following', 'sciences', 'nc', 'type:', 'fix', 'professional', 'salaries', 'design', 'problem-solving', 'skip', 'big', 'insights', 'observations', 'atlas', 'sciences:', 'technical', 'durham', 'visit', 'configures', 'qualifications', 'analytical', '?', 'raleigh', 'hdfs', 'writing', 'person', 'assist', 'superior', 'state', 'enable', 'blas-dev:', 'compiler', 'title', 'mostly', 'time', 'efficient', 'increasing', 'years', 'helps', 'automated', 'integration', 'mapreduce', '19', 'taking', 'function', 'starter', 'validate', 'hue', '1', 'now', 'job', 'lifescale', 'analysis', '?2017', 'preparation', 'impact']"
5,Indeed,06/20/2017,f2872ade1e67f838,Research Scientist,Syngenta,"Durham, NC",http://www.indeed.com/rc/clk?jk=f2872ade1e67f838,[],[],[],[],[],"['', 'basic', 'section', 'inactivity', 'syngenta', 'vdi', 'click', 'search', 'minutes', 'terms', 'options', 'candidate', 'profile', 'friend', 'youtube', 'set', 'cart', 'format', 'automatically', 'saved', 'go', 'return', 'country', 'submissions', 'primary', 'facebook', 'description', 'careers', '&', 'refer', '\xa0', '|', 'listed', 'media', 'want', 'qualifications', 'twitter', 'openings', 'work', 'conditions', '-', 'beginning', 'privacy', 'choose', 'linkedin', ""candidate's"", 'statement', 'locations', 'location', 'session', 'searches', 'jobpage', 'reset', 'timer', 'content', 'page', 'previous', 'isyn', 'main', 'matching', 'service', 'end', 'printable', 'sign', 'account', 'back', 'jobs', 'map', ':', 'countries', '{1}', '?\xa02016', 'please', 'contacts', 'signed', '{0}', 'will', 'submit', 'position', 'job', 'disconnect', 'investors', 'home', 'ok']"
6,Indeed,06/20/2017,ebc23dc08325b8c8,Data Scientist,xometry,"Durham, NC",http://www.indeed.com/rc/clk?jk=ebc23dc08325b8c8,[],['Python'],"['BS', 'MS']","['Computer Science', 'Statistics', 'Math', 'Machine Learning', 'Software Engineering', 'Engineering', 'Quantitative']",['Regression'],"['', 'laser', 'solutions', 'government', 'linear', 'companies', 'python', 'versioning', 'compliant', 'startup', 'powers', 'development', 'must', 'that?s', 'demands', 'proprietary', 'metal', 'management', 'resources', 'within', 'like', 'degree', 'unit', 'built', 'kit', 'fitting', 'distributed', 'algebra', 'marketing', '20814', 'disrupted', 'work', 'network', 'regression', 'capabilities', 'production', 'blog', 'resume', 'environment', 'detail', 'itar', 'startups', 'cnc', 'including', 'm.s', 'selective', 'familiarity', 'send', 'provide', 'statistics', 'manufacturing', 'quoting', 'record', 'main', 'new', 'billion', 'sklearn', 'continual', 'machining', '300', '240-252-1138', 'machine', 'board', 'employees', '201', 'md', 'access', 'successful', 'position', 'small', '7315', 'iterating', 'modeling', 'project', 'avenue', 'custom', 'talk', 'demonstrating', 'testing', 'states', 'ideal', 'gain', 'code', 'utilizing', 'terms', 'candidate', 'proven', 'apis', 'deposition', 'suite', 'engine', 'customer', 'advanced', 'careers', 'environment\xa0', 'fast-paced', 'legal', 'links', 'united', 'people', 'science', 'proficiency', 'natural', 'registered', 'laster', 'become', 'polyjet', 'attention', 'unparalleled', 'market', '-', 'log', 'digital', 'xometry', 'data', 'methodologies', 'privacy', 'optimization', 'solidworks', 'technology', 'wages', 'structure', 'experience', 'give', 'sign', 'our\xa0network', 'systems', 'engineering', 'computer', 'bethesda', 'sales', 'context', 'use', 'east', 'debugging', 'working', 'git', 'street', 'fused', 'binder', 'problems', 'fabrication', 'fdm', 'transforming', 'mission', 'customers', 'fortune', 'press', 'direct', 'excellent', 'seeking', 'programming', 'recommendation', 'sizes', 'learning', 'company', 'build', 'printing', ""bachelor's"", 'clean', 'guides', 'error', '500', 'partner', 'smart', 'instant', 'sintering', 'sample', 'restful', '20879', 'math', 'media', 'exits', 'collaborating', 'directors', 'cessna', 'fluency', 'leadership', 'casting', 'policy', 'locations', 'american', 'businesses', 'sls', 'on-demand', 'ambiguity', 'service', 'works', 'uncharted', '2017', 'deep', 'uber', 'benefits', 'get', 'agencies', 'scipy', 'west', '?', 'please', 'skills', 'ave', 'founding', 'plus', 'xometry?s', 'industry', 'objectives', 'track', 'norms', 'scientist', 'business', '2+', '401k', 'techniques', 'relentlessly', '7951', 'sheet', 'numpy', 'gaithersburg', 'faqs', 'role', 'sciences', 'corporate', 'view', 'nc', 'process', 'excited', 'computing', 'design', 'services', 'understanding', 'contact', 'high-performance', 'durham', 'applications', 'rapidly', 'integrating', 'qualifications', 'partners', 'disrupting', 'following:', 'careers@xometry.com', 'internet', 'provides', 'quantitative', 'portfolio', 'growing', '3d', 'plan', 'great', 'latest', 'engines', 'manufacturers', 'key', 'supports', 'minimal', 'expert', 'standards', 'add-in', 'overview', 'dmls', 'genetic', 'applied', 'testimonials', 'urethane', '$60', 'years', '27701', 'jetting', 'ride', 'wisconsin', 'automated', 'team', 'solving', 'challenging', 'streamlined', 'quote', 'software', 'taking', 'competitive', 'nationwide', 'pandas', 'eagerness', 'analysis', 'agile', 'ph.d', 'manufacturer']"
7,Indeed,06/20/2017,9afd1255b84df18f,Analytics Integration Engineer - 1207023,Cisco,"Research Triangle Park, NC",http://www.indeed.com/rc/clk?jk=9afd1255b84df18f,[],"['Unix', 'Linux', 'SQL', 'Python', 'JavaScript', 'HTML', 'Hive', 'HBase', 'NoSQL']",[],['Engineering'],['Big Data'],"['', 'basic', 'deploying', 'counterparts', 'focus', 'python', 'lifecycle', 'in\xa0', 'development', 'friend', 'organizations', 'degree', 'management', 'area', 'resources', 'system', 'version', 'strong', 'within', 'administration', 'everything:', 'responsible', 'share', 'directly', 'facebook', '&', 'operating', 'e-verify', 'facilitate', 'windows', 'sql', 'work', 'cisco', 'gender', 'preparation', 'scientists', 'control', 'environment', 'cleaning', 'office', '<', 'including', 'linkedin', 'analytics', 'results', 'leaders', 'api', 'notifications', 'sexual', 'statement', 'veteran', 'trademarks', 'follow', 'continuous', 'origin', 'change', 'consideration', 'help', 'new', 'rock', 'everywhere', 'handheld', 'cookie', 'applicants', '?', 'english', 'integrations', 'linux', 'implementing', 'instagram', 'variety', 'operations', 'maintainable', 'using', 'regard', 'successful', 'continous', 'purple', 'aren?t', 'modeling', 'portal', 'home', 'project', 'interest', 'grads', 'basis', 'hospitals', 'implementation', 'testing', 'location:', 'terms', 'maintenance', 'impala', 'candidate', 'role:', 'race', 'youtube', 'agency', 'tools', 'based', 'information', 'advanced', 'menu', 'careers', 'deployment', '|', 'e-mail', 'action', 'via', 'i.e', 'success', 'science', 'six', 'type', 'people', 'things', 'dreamers', 'north', '-', 'relational', 'nosql', 'various', 'unix', 'carolina', 'data', 'database', 'well-qualified', 'privacy', 'coe', 'knowledge', 'apply', 'technology', 'content', 'notify', 'across', 'innovate', 'offer', 'case', 'accountable', 'oracle', 'cars', 'experience', 'give', 'sign', 'back', 'systems', 'engineering', 'jobs', 'unique', 'working', '*none', 'git', 'thought', 'accessibility', 'records', 'fuels', '1207023', 'performance', 'javascript', 'sigma', 'enterprise', 'search', 'today', 'professor', 'accordance', 'model', 'plays', 'poster', 'opportunity', 'protected', 'religion', 'full', 'requirements', 'geeks', 'aficionados', 'real-world', 'include', 'smart', 'world', 'connect', 'delivery', 'touch', 'fran?ais', 'residence', 'id', 'hbase', 'arrest', 'web', 'policy', 'mongo', 'hive', 'creativity', 'disability', 'application', 'engineers', 'processes', 'stars', 'culture', 'qualified', 'works', 'background', 'pop', 'bold', 'similar', 'disabilities', 'addition', 'will', 'innovation', 'color', 'objectives', 'receive', 'style', 'glassdoor', 'bachelors', 'consider', 'celebrate', 'minimum', 'diversity', 'consuming', 'business', 'developing', 'google+', 'deliver', 'run', 'conviction', 'horizon', '2-5', 'legally', 'national', 'professional', 'insights', 'understanding', 'services', 'skip', 'big', 'server', 'preferably', 'personalities', 'way', 'analytical', 'twitter', 'cities', 'age', 'equal', 'conditions', 'accomplish', 'even', 'impact', 'writing', 'lives', 'portfolio', 'participation', 'employer', 'decision', 'connected', 'enable', 'cross-functional', 'rtp', 'tech', 'orientation', 'expert', 'affirmative', 'students', 'technologies', 'stay', 'models', 'learns', 'analytics:', 'us', 'afraid', 'employment', 'efficient', 'genetic', 'improvement', 'team', 'years', 'doers', 'right', 'integration', 'professionals', 'software', 'html', 'taking', 'shape', 'frameworks', 'scripts', 'job', 'agile', 'designing', 'risks', 'without', 'status', 'engineer', 'haired']"
8,Indeed,06/20/2017,976ecc0833fdac6a,Data Scientist,ZP Group,"Raleigh, NC 27613 (Northwest area)",http://www.indeed.com/rc/clk?jk=976ecc0833fdac6a,[],[],[],[],[],['']
9,Indeed,06/20/2017,bef461dd99e2bd45,Medical Technologist - Sequencing Data Analysis,LabCorp,"Durham, NC",http://www.indeed.com/rc/clk?jk=bef461dd99e2bd45,[],[],['BS'],['Math'],[],"['', 'basic', 'finally', 'focus', 'duties', 'date', 'medical', 'established', 'ascp', '25', 'team!', 'supervisor', 'software', 'troubleshooting', 'amazing', 'alert', 'organizations', 'effectively', 'hours', 'relations', 'labcorp', 'ronald', 'reserved', 'navigation', 'responsible', 'facebook', 'share', 'description', 'requisition', 'due', 'credit', 'cytogenetics', 'test', 'result', '340', 'initiate', 'category', 'work', 'gender', 'detail', 'sexual', 'control', 'linkedin', 'including', 'location', 'results', 'treat', 'follow', 'sport', 'highly', 'veteran', 'origin', 'participated', 'night', 'aa', 'provide', 'change', 'desired', 'review', 'monitor', 'shirt', 'advise', 'organization', 'ensure', 'america?', 'shirts', ""applicant's"", 'employees', 'operations', 'create', 'fundraiser', 'watch', 'position', 'prompt', 'group', 'colon', 'demonstrated', 'number', 'exposure', 'steps', 'others', 'testing', 'discipline', 'states', 'needed', 'priorities', 'race', 'director', '1st', 'accurately', 'identified', 'physicians', 'criteria', 'based', 'sold', 'information', 'patients', 'menu', 'remove', 'sex', 'field', 'united', 'electrophoresis', 'proficiency', 'attention', '15', 'adjust', 'proficiently', 'north', 'prefer', '-', 'social', 'various', 'molecular', 'data', 'rights', 't-shirt', '17-76762', 'can', 'carolina', 'mcdonald', 'apply', 'technology', 'keyword', 'high', 'monday', 'screening', 'chemistry', 'responsibilities:', 'previous', 'identity', 'radius', '8:00am', 'equivalent', 'experience', 'list', '05', 'cancer', 'systems', 'select', 'registered?', 'jobs', 'generation', 'computer', 'accreditation', 'recent', 'clients', 'supplement', 'shift', 'military', 'integrated', 'certification', 'working', 'education:', '--', 'enter', 'schedule', 'problems', 'seeking', '50', 'b.s', 'determining', 'join', 'forms', 'nondiscrimination', 'poster', 'opportunity', 'click', 'search', 'perform', 'check', '2', 'inside', '?add?', 'religion', 'interested', 'dna', 'friday', 'requirements', 'approval', 'eeo', 'alerts', 'something', 'clinician', 'video', 'additionally', 'assistant', 'county', 'math', 'media', 'diagnostic', 'ovarian', 'resolution', 'event', 'genetics', 'areas', '5', 'individuals', 'lab', 'next', 'learn', 'holdings', 'ability', 'disability', 'assurance', 'recognize', 'certified', 'add', 'documentation', 'pay', 'miles', '2017', 'electronic', 'reporting', 'alamance', 'get', 'primarily', '?', 'mb', 'phlebotomy', '16', 'skills', 'breast', 'assigned', 'submit', 'risk', 'will', '3', 'color', 'industry', 'one', 'glassdoor', 'login', 'minimum', 'pcr', 'qpcr', '4:30pm', 'license', 'completion', 'related', 'house', 'google+', 'view', 'reports', 'mutations', 'faqs', 'specialty', 'biology', 'confirm', 'technician', 'purchased', 'process', 'national', 'understanding', 'skip', 'career', 'durham', 'quality', 'be:', 'b.a', 'provision', 'twitter', 'family', 'inherited', 'corporation', 'email', ""labcorp's"", 'equal', 'already', 'determine', 'scientific', 'transparency', 'compiling', 'employer', 'discriminate', 'allow', 'connected', 'assist', 'capillary', 'rtp', 'eoe', 'orientation', 'human', 'stay', 'independently', 'technologist', 'sponsor', 'mlpa', '35', 'microarray', 'genetic', 'employment', 'isolation', 'years', 'helps', 'clinical', 'posted', 'professionals', 'accurate', 'now', 'methods', 'aid', 'disorders', 'identifying', 'laboratory', 'sequencing', 'practices', 'suggestions', 'law', 'analysis', '1', 'job', 'acceptability', 'preparation', 'rt-pcr', 'status', 'reliable']"
