,from,job_id,job_title,job_company,job_location,job_link
0,Dice,featureId21c1583503825ed929fffa7e91ceac16,Data Scientist,Open Systems Technologies,"New York, NY",http://job-openings.monster.com/monster/featureId21c1583503825ed929fffa7e91ceac16
1,Dice,featureIde9949847efd0d8b9abda70df9c30628e,Principal Data Scientist,CBS Corporation,"New York, NY",http://job-openings.monster.com/monster/featureIde9949847efd0d8b9abda70df9c30628e
2,Dice,featureId2349416cce472b6808ccc6b6628bac30,Data Scientist,comScore,"New York, NY",http://job-openings.monster.com/monster/featureId2349416cce472b6808ccc6b6628bac30
3,Dice,featureId27c83981109e0e6d014427423bd5e2ba,Principle Data Scientist,Crestron Electronics Inc,"Rockleigh, NJ",http://job-openings.monster.com/monster/featureId27c83981109e0e6d014427423bd5e2ba
4,Dice,featureId816cedd84989bbe571569a9d166654d4,Data Scientist- 11809 4/11/17,UPS,"Wayne, NJ",http://job-openings.monster.com/monster/featureId816cedd84989bbe571569a9d166654d4
5,Dice,featureId6e24505c7ab2b4bc89759a9ccf04161f,Data Scientist,Bed Bath and Beyond,"Union, NJ",http://job-openings.monster.com/monster/featureId6e24505c7ab2b4bc89759a9ccf04161f
6,Dice,featureId569b8f64ef544c5a376f056a00cd50f9,Data Scientist ( Chinese Speaking / Deep Learning / NLP / AI ),Venturi,"New York, NY",http://job-openings.monster.com/monster/featureId569b8f64ef544c5a376f056a00cd50f9
7,Dice,featureId08849b0c30877d2581b218825b439c04,Senior Data Scientist ( Search / IR / Python / ML / NLP / AI ),Venturi,"New York, NY",http://job-openings.monster.com/monster/featureId08849b0c30877d2581b218825b439c04
8,Dice,featureId434dbee7e92a44dd275f39f7fce8e5f2,Data Scientist,Hyatt Leader,"New York, NY",http://job-openings.monster.com/monster/featureId434dbee7e92a44dd275f39f7fce8e5f2
9,Dice,featureId71e416fd04e903a09a257aa4bcfaf48e,Data Scientist,Hyatt Leader,"New York, NY",http://job-openings.monster.com/monster/featureId71e416fd04e903a09a257aa4bcfaf48e
10,Dice,featureId320571230b5a6576f5092ac75077948e,Data Scientists,Knowledgent,"New York, NY",http://job-openings.monster.com/monster/featureId320571230b5a6576f5092ac75077948e
11,Dice,featureIdc927e1b907d4b089f654aad6ead1fe13,VP / Senior Data Scientist (Financial Services),Averity,"New York, NY",http://job-openings.monster.com/monster/featureIdc927e1b907d4b089f654aad6ead1fe13
12,Dice,featureId7bbd12d546b1b0a54ff626d7c5cc7b4a,"Data Scientist - Machine Learning, Data Mining, Python",CyberCoders,"New York, NY",http://job-openings.monster.com/monster/featureId7bbd12d546b1b0a54ff626d7c5cc7b4a
13,Dice,featureId9585a719555672757a986780c07282c0,Data Scientist,Software Guidance & Assistance,"New York, NY",http://job-openings.monster.com/monster/featureId9585a719555672757a986780c07282c0
14,Dice,featureId30cafa1ce772e33868fa6b85ada22fa9,Data Scientist - Realtime Economy Simulator,CyberCoders,"New York, NY",http://job-openings.monster.com/monster/featureId30cafa1ce772e33868fa6b85ada22fa9
15,Dice,featureIdfb82094f03d7f32b6974f1a5dc064848,Data Scientist for Global Digital Media Company,Averity,"New York, NY",http://job-openings.monster.com/monster/featureIdfb82094f03d7f32b6974f1a5dc064848
16,Dice,featureId2c715696f3731c9aac38f9882101324a,Data Scientist (NLP),Group A LLC,"New York, NY",http://job-openings.monster.com/monster/featureId2c715696f3731c9aac38f9882101324a
17,Dice,featureId4bbc4d5f9f1d9d6bdb07ebefe2ad06ed,Data Scientist - NLP,Apidel Technologies,"Jersey City, NJ",http://job-openings.monster.com/monster/featureId4bbc4d5f9f1d9d6bdb07ebefe2ad06ed
